DATE,GOLDAMGBD228NLBM
2016-06-17,1284.500
2016-06-20,1283.250
2016-06-21,1280.800
2016-06-22,1265.000
2016-06-23,1265.750
2016-06-24,1313.850
2016-06-27,1324.600
2016-06-28,1312.000
2016-06-29,1317.750
2016-06-30,1317.000
2016-07-01,1331.750
2016-07-04,1348.750
2016-07-05,1344.750
2016-07-06,1370.000
2016-07-07,1367.100
2016-07-08,1356.100
2016-07-11,1358.250
2016-07-12,1352.850
2016-07-13,1340.250
2016-07-14,1325.700
2016-07-15,1330.500
2016-07-18,1326.150
2016-07-19,1332.200
2016-07-20,1325.600
2016-07-21,1322.000
2016-07-22,1323.200
2016-07-25,1315.000
2016-07-26,1321.250
2016-07-27,1320.800
2016-07-28,1341.300
2016-07-29,1332.500
2016-08-01,1348.850
2016-08-02,1358.150
2016-08-03,1364.400
2016-08-04,1351.150
2016-08-05,1362.600
2016-08-08,1330.000
2016-08-09,1332.900
2016-08-10,1351.850
2016-08-11,1344.550
2016-08-12,1336.700
2016-08-15,1339.200
2016-08-16,1349.100
2016-08-17,1342.750
2016-08-18,1347.100
2016-08-19,1346.850
2016-08-22,1334.300
2016-08-23,1338.500
2016-08-24,1337.300
2016-08-25,1324.500
2016-08-26,1324.900
2016-08-29,.
2016-08-30,1318.850
2016-08-31,1314.450
2016-09-01,1305.700
2016-09-02,1311.500
2016-09-05,1328.300
2016-09-06,1330.050
2016-09-07,1348.750
2016-09-08,1348.000
2016-09-09,1335.650
2016-09-12,1327.500
2016-09-13,1328.500
2016-09-14,1323.200
2016-09-15,1320.100
2016-09-16,1314.250
2016-09-19,1315.050
2016-09-20,1315.400
2016-09-21,1319.600
2016-09-22,1332.450
2016-09-23,1335.900
2016-09-26,1336.300
2016-09-27,1335.850
2016-09-28,1324.800
2016-09-29,1320.850
2016-09-30,1327.900
2016-10-03,1318.650
2016-10-04,1309.150
2016-10-05,1274.000
2016-10-06,1265.500
2016-10-07,1255.000
2016-10-10,1262.100
2016-10-11,1256.400
2016-10-12,1255.700
2016-10-13,1258.000
2016-10-14,1256.150
2016-10-17,1252.700
2016-10-18,1261.650
2016-10-19,1269.750
2016-10-20,1269.200
2016-10-21,1263.950
2016-10-24,1267.000
2016-10-25,1269.300
2016-10-26,1273.900
2016-10-27,1269.300
2016-10-28,1265.900
2016-10-31,1274.200
2016-11-01,1284.400
2016-11-02,1295.850
2016-11-03,1293.000
2016-11-04,1301.700
2016-11-07,1286.800
2016-11-08,1284.000
2016-11-09,1304.550
2016-11-10,1280.900
2016-11-11,1255.650
2016-11-14,1222.600
2016-11-15,1228.900
2016-11-16,1225.700
2016-11-17,1232.000
2016-11-18,1206.100
2016-11-21,1214.950
2016-11-22,1217.550
2016-11-23,1213.250
2016-11-24,1187.250
2016-11-25,1187.500
2016-11-28,1189.100
2016-11-29,1187.300
2016-11-30,1187.400
2016-12-01,1168.750
2016-12-02,1171.650
2016-12-05,1164.900
2016-12-06,1171.150
2016-12-07,1171.250
2016-12-08,1174.750
2016-12-09,1168.900
2016-12-12,1154.400
2016-12-13,1157.350
2016-12-14,1160.950
2016-12-15,1132.450
2016-12-16,1134.850
2016-12-19,1137.600
2016-12-20,1132.750
2016-12-21,1134.400
2016-12-22,1130.550
2016-12-23,1131.000
2016-12-26,.
2016-12-27,.
2016-12-28,1139.750
2016-12-29,1146.800
2016-12-30,1159.100
2017-01-02,.
2017-01-03,1148.650
2017-01-04,1165.900
2017-01-05,1173.05
2017-01-06,1178.000
2017-01-09,1176.100
2017-01-10,1183.200
2017-01-11,1187.55
2017-01-12,1206.65
2017-01-13,1196.35
2017-01-16,1202.75
2017-01-17,1217.5
2017-01-18,1212.5
2017-01-19,1203.35
2017-01-20,1199.1
2017-01-23,1213.75
2017-01-24,1213.3
2017-01-25,1203.5
2017-01-26,1191.55
2017-01-27,1184.2
2017-01-30,1189.85
2017-01-31,1198.8
2017-02-01,1210.0
2017-02-02,1224.05
2017-02-03,1213.05
2017-02-06,1221.85
2017-02-07,1231.0
2017-02-08,1235.6
2017-02-09,1241.75
2017-02-10,1225.75
2017-02-13,1229.4
2017-02-14,1229.65
2017-02-15,1225.15
2017-02-16,1236.75
2017-02-17,1241.4
2017-02-20,1235.35
2017-02-21,1228.7
2017-02-22,1237.5
2017-02-23,1237.35
2017-02-24,1255.35
2017-02-27,1256.25
2017-02-28,1251.9
2017-03-01,1246.05
2017-03-02,1243.3
2017-03-03,1228.75
2017-03-06,1231.15
2017-03-07,1223.7
2017-03-08,1213.3
2017-03-09,1204.6
2017-03-10,1196.550
2017-03-13,1207.8
2017-03-14,1203.55
2017-03-15,1202.25
2017-03-16,1225.6
2017-03-17,1228.75
2017-03-20,1233.0
2017-03-21,1232.05
2017-03-22,1246.1
2017-03-23,1247.9
2017-03-24,1244.0
2017-03-27,1256.9
2017-03-28,1253.65
2017-03-29,1252.9
2017-03-30,1250.9
2017-03-31,1241.7
2017-04-03,1246.25
2017-04-04,1258.65
2017-04-05,1252.50
2017-04-06,1253.75
2017-04-07,1264.3
2017-04-10,1253.6
2017-04-11,1255.7
2017-04-12,1272.3
2017-04-13,1286.1
2017-04-14,.
2017-04-17,.
2017-04-18,1285.0
2017-04-19,1282.050
2017-04-20,1279.900
2017-04-21,1281.500
2017-04-24,1271.800
2017-04-25,1270.500
2017-04-26,1264.950
2017-04-27,1264.300
2017-04-28,1265.550
2017-05-01,.
2017-05-02,1255.800
2017-05-03,1253.950
2017-05-04,1235.850
2017-05-05,1239.400
2017-05-08,1229.700
2017-05-09,1225.150
2017-05-10,1222.950
2017-05-11,1221.000
2017-05-12,1227.900
2017-05-15,1231.500
2017-05-16,1234.050
2017-05-17,1244.600
2017-05-18,1261.350
2017-05-19,1251.850
2017-05-22,1255.250
2017-05-23,1259.900
2017-05-24,1251.350
2017-05-25,1257.100
2017-05-26,1265.000
2017-05-29,.
2017-05-30,1262.800
2017-05-31,1263.800
2017-06-01,1266.150
2017-06-02,1260.950
2017-06-05,1280.700
2017-06-06,1287.850
2017-06-07,1292.700
2017-06-08,1284.800
2017-06-09,1274.250
2017-06-12,1269.25
2017-06-13,1261.30
2017-06-14,1268.25
2017-06-15,1260.25
